id_reg,fecha,id_insumo,id_lote,unidad,id_almacen,id_ubicacion,stock_utilizable,stock_vencido,stock_total,stock_minimo,Alerta_stock_mínimo,Capacidad_total_kg,Capacidad_usada_%,fecha_vencimiento,capacidad_kg,espacio_usado_kg
1,2023-01-01,101,INIT-1,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2026-12-31,600.0,1106.5572000000002
2,2023-01-01,102,INIT-2,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
3,2023-01-01,103,INIT-3,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2026-12-31,600.0,1106.5572000000002
4,2023-01-01,104,INIT-4,kg,1,3,0.0,0.0,0.0,0,False,300.0,21.10850144347686,2026-12-31,300.0,132.9468
5,2023-01-01,105,INIT-5,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
6,2023-01-01,106,INIT-6,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
7,2023-01-01,107,INIT-7,kg,1,4,0.0,0.0,0.0,0,False,300.0,23.880198464921587,2026-12-31,300.0,278.908392
8,2023-01-01,108,INIT-8,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
9,2023-01-01,109,INIT-9,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2026-12-31,600.0,1106.5572000000002
10,2023-01-01,110,INIT-10,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2026-12-31,600.0,1106.5572000000002
11,2023-01-01,111,INIT-11,unid,1,4,0.0,0.0,0.0,0,False,300.0,23.880198464921587,2026-12-31,300.0,278.908392
12,2023-01-01,112,INIT-12,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2026-12-31,600.0,1106.5572000000002
13,2023-01-01,113,INIT-13,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2026-12-31,600.0,1106.5572000000002
14,2023-01-01,114,INIT-14,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
15,2023-01-01,115,INIT-15,kg,1,4,0.0,0.0,0.0,0,False,300.0,23.880198464921587,2026-12-31,300.0,278.908392
16,2023-01-01,116,INIT-16,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2026-12-31,600.0,1106.5572000000002
17,2023-01-01,117,INIT-17,L,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
18,2023-01-01,118,INIT-18,L,1,1,121.21358798277878,0.0,121.21358798277878,25,False,600.0,34.52504157137261,2026-12-31,600.0,1106.5572000000002
19,2023-01-01,119,INIT-19,L,1,4,0.0,0.0,0.0,0,False,300.0,23.880198464921587,2026-12-31,300.0,278.908392
20,2023-01-01,120,INIT-20,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
21,2023-01-01,121,INIT-21,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
22,2023-01-01,122,INIT-22,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2026-12-31,1600.0,1128.5484000000001
23,2023-01-03,110,COMPRA-20230101-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-08-19,,
24,2023-01-04,110,COMPRA-20230102-110,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2023-04-15,,
25,2023-01-04,110,COMPRA-20230102-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-10-13,,
26,2023-01-05,110,COMPRA-20230103-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-11-08,,
27,2023-01-05,110,COMPRA-20230103-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-09-09,,
28,2023-01-05,110,COMPRA-20230103-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2024-01-04,,
29,2023-01-06,111,COMPRA-20230102-111,unid,1,3,0.0,0.0,0.0,0,False,300.0,21.10850144347686,2023-11-24,,
30,2023-01-06,111,COMPRA-20230103-111,unid,1,3,0.0,0.0,0.0,0,False,300.0,21.10850144347686,2023-09-18,,
31,2023-01-06,110,COMPRA-20230104-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-09-15,,
32,2023-01-06,110,COMPRA-20230104-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-07-13,,
33,2023-01-06,110,COMPRA-20230104-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-04-07,,
34,2023-01-06,102,COMPRA-20230104-102,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-04-16,,
35,2023-01-07,111,COMPRA-20230101-111,unid,1,3,0.0,0.0,0.0,0,False,300.0,21.10850144347686,2023-10-01,,
36,2023-01-07,104,COMPRA-20230103-104,kg,1,4,0.0,0.0,0.0,0,False,300.0,23.880198464921587,2023-06-23,,
37,2023-01-07,102,COMPRA-20230105-102,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2023-02-21,,
38,2023-01-08,102,COMPRA-20230101-102,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-06-10,,
39,2023-01-08,110,COMPRA-20230101-110,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2023-11-21,,
40,2023-01-08,110,COMPRA-20230101-110,kg,1,1,0.0,0.0,0.0,0,False,600.0,34.52504157137261,2023-09-08,,
41,2023-01-08,104,COMPRA-20230102-104,kg,1,4,0.0,0.0,0.0,0,False,300.0,23.880198464921587,2023-09-06,,
42,2023-01-08,101,COMPRA-20230106-101,kg,1,2,0.0,0.0,0.0,0,False,1600.0,5.061075888543579,2023-12-23,,
